vendor,posting_frequency,avg_views,max_views,top_post_text,top_post_date,avg_price,product_variety,lending_score
Leyueqa,9.474001507159004,42425.088530066816,201645,የቦታ ጥበት ካለብዎ ይሄ ያስፈልግዎታል ላይ ሊጠቀሙበት ይችላሉ የንፅህና ዕቃዎችን፣ የግሮሰሪና ዕቃዎችን፣ ኮስሞቲክሶች እና አትክልትፍራፍሬዎችን ሊያስቀምጡበት ይችላሉ ግድግዳ መብሳት አያስፈልግዎትም ከጠንካራ ብረት እና ፕላስቲክ የተሰራ እርጥበትን የሚቋቋም የማይዝግ ማያያዣ ሁክ ያለው ዋጋ፦ አድራሻ ቁጥር ልደታ ወደ ባልቻ ሆስፒታል ገባ ብሎ አህመድ ህንፃ ላይ ኛፎቅ ቁጥር አውራሪስ ሆቴል አጠገብ በፀጋ ህንፃ ኛ ፎ ቅ ከ ሊፍቱ በ ግራ የሱቅ ቁጥር ይደዉሉልን,2024-01-26 07:01:53+00:00,1000,20,17174.877612478875
MerttEka,14.368955512572533,25440.29893992933,216507,መልካም የዕረፍት ቀን ይሁንልዎት,2024-06-23 05:33:57+00:00,1000,20,10382.430262625503
belaclassic,6.600600600600601,13465.154458598727,24312,ዋጋ ስልክ በውስጥ ለማናገር አድራሻ ሜክሲኮ ኬኬር ህንፃ ኛ ፎቅ በመጀመሪያው በስተቀኝ እጥፍ ሲሉ አለን ሱቅቁ,2024-11-26 04:59:16+00:00,1000,20,5590.041963619671
ZemenExpress,17.301536830948596,12147.587907375642,29997,የልጆች የምግብ ዕቃ እና ውሃ መጠጫ ሁለት እና የምግብ መብያ ሁለት የውሃ መጠጫ ማንኪያ ሹኪያ በተለያየ የከለር አማራጭ ዋጋ፦ ብር ውስን ፍሬ ነው ያለን አድራሻ መገናኛ ደራርቱ ህንፃ ጎን መሰረት ደፋር ሞል ሁለተኛ ፎቅ ቢሮ ቁ በ ለማዘዝ ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,2022-09-15 12:39:28+00:00,1000,20,5066.225623999542
AwasMart,22.64388835418672,8973.60666468313,30238,የዕቃ መሸፈኛ ሲሊከን ፕላስቲኮች በተደጋጋሚ የምንጠቀምባቸዉ በተለያዩ ሳይዞች የቀረቡ የሚለጠጥ የማይቀደድ ዋጋ፦ ብር አድሚኑን ለማናገር አድራሻችን ቦሌ መድሐኔዓለም ቦሌ መሰናዶ ትቤት ፊትለፊት አለምነሽ ፕላዛ ግራውንድ ሱቅ ቁጥር ለወዳጅዎ ስላጋሩ እናመሠግናለን ቴሌግራም ቻናል,2022-09-24 11:33:10+00:00,1000,20,3798.235832379508
classybrands,9.511567001309473,6906.321876003854,58811,ለሱቅና ብዛት ተረካቢዎች ባስተያየት እናስረክባለን አድራሻ አዲስ አበባ ሃያሁለት፡ ታውን ስኩዬር ሞል ኛ ፍሎር ላይ፡ የሱቅ ቁ,2021-04-26 05:44:51+00:00,1000,20,2967.3822205019346
